game_id,trial,choice,reward,penalty,debt
0,0,C,50,0,1950
0,1,A,100,0,1850
0,2,A,100,0,1750
0,3,C,50,0,1700
0,4,B,100,0,1600
0,5,C,50,50,1600
0,6,A,100,150,1650
0,7,C,50,0,1600
0,8,C,50,50,1600
0,9,A,100,0,1500
0,10,D,50,0,1450
1,0,A,100,0,1900
1,1,D,50,0,1850
1,2,C,50,0,1800
1,3,C,50,0,1750
1,4,B,100,0,1650
1,5,A,100,0,1550
1,6,B,100,0,1450
1,7,C,50,50,1450
1,8,D,50,0,1400
1,9,D,50,0,1350
1,10,C,50,0,1300
2,0,C,50,0,1950
2,1,D,50,0,1900
2,2,C,50,0,1850
2,3,D,50,0,1800
2,4,D,50,0,1750
2,5,D,50,0,1700
2,6,D,50,0,1650
2,7,B,100,0,1550
2,8,C,50,50,1550
2,9,B,100,0,1450
2,10,A,100,0,1350
3,0,D,50,0,1950
3,1,C,50,0,1900
3,2,A,100,0,1800
3,3,C,50,0,1750
3,4,A,100,0,1650
3,5,B,100,0,1550
3,6,B,100,0,1450
3,7,C,50,50,1450
3,8,C,50,0,1400
3,9,C,50,50,1400
3,10,B,100,0,1300
4,0,D,50,0,1950
4,1,B,100,0,1850
4,2,A,100,0,1750
4,3,B,100,0,1650
4,4,C,50,0,1600
4,5,D,50,0,1550
4,6,C,50,0,1500
4,7,C,50,50,1500
4,8,C,50,0,1450
4,9,B,100,0,1350
4,10,B,100,0,1250
5,0,D,50,0,1950
5,1,A,100,0,1850
5,2,A,100,0,1750
5,3,C,50,0,1700
5,4,A,100,150,1750
5,5,B,100,0,1650
5,6,A,100,0,1550
5,7,D,50,0,1500
5,8,B,100,0,1400
5,9,C,50,0,1350
5,10,D,50,0,1300
6,0,C,50,0,1950
6,1,B,100,0,1850
6,2,C,50,0,1800
6,3,D,50,0,1750
6,4,B,100,0,1650
6,5,C,50,50,1650
6,6,A,100,0,1550
6,7,D,50,0,1500
6,8,C,50,0,1450
6,9,C,50,50,1450
6,10,B,100,0,1350
7,0,A,100,0,1900
7,1,C,50,0,1850
7,2,C,50,0,1800
7,3,A,100,0,1700
7,4,A,100,150,1750
7,5,D,50,0,1700
7,6,B,100,0,1600
7,7,B,100,0,1500
7,8,D,50,0,1450
7,9,A,100,0,1350
7,10,B,100,0,1250
8,0,A,100,0,1900
8,1,A,100,0,1800
8,2,C,50,0,1750
8,3,B,100,0,1650
8,4,D,50,0,1600
8,5,B,100,0,1500
8,6,B,100,0,1400
8,7,D,50,0,1350
8,8,C,50,0,1300
8,9,A,100,150,1350
8,10,A,100,0,1250
9,0,D,50,0,1950
9,1,D,50,0,1900
9,2,A,100,0,1800
9,3,C,50,0,1750
9,4,D,50,0,1700
9,5,B,100,0,1600
9,6,A,100,0,1500
9,7,D,50,0,1450
9,8,A,100,150,1500
9,9,D,50,0,1450
9,10,C,50,0,1400
10,0,A,100,0,1900
10,1,A,100,0,1800
10,2,C,50,0,1750
10,3,D,50,0,1700
10,4,C,50,0,1650
10,5,B,100,0,1550
10,6,A,100,150,1600
10,7,D,50,0,1550
10,8,A,100,0,1450
10,9,D,50,0,1400
10,10,D,50,0,1350
11,0,A,100,0,1900
11,1,C,50,0,1850
11,2,D,50,0,1800
11,3,B,100,0,1700
11,4,B,100,0,1600
11,5,C,50,0,1550
11,6,B,100,0,1450
11,7,C,50,50,1450
11,8,C,50,0,1400
11,9,C,50,50,1400
11,10,B,100,0,1300
12,0,A,100,0,1900
12,1,C,50,0,1850
12,2,D,50,0,1800
12,3,D,50,0,1750
12,4,C,50,0,1700
12,5,B,100,0,1600
12,6,A,100,0,1500
12,7,B,100,0,1400
12,8,B,100,0,1300
12,9,C,50,50,1300
12,10,D,50,0,1250
13,0,D,50,0,1950
13,1,A,100,0,1850
13,2,C,50,0,1800
13,3,C,50,0,1750
13,4,C,50,50,1750
13,5,D,50,0,1700
13,6,A,100,0,1600
13,7,A,100,150,1650
13,8,B,100,0,1550
13,9,B,100,0,1450
13,10,C,50,0,1400
14,0,D,50,0,1950
14,1,B,100,0,1850
14,2,D,50,0,1800
14,3,D,50,0,1750
14,4,D,50,0,1700
14,5,A,100,0,1600
14,6,C,50,0,1550
14,7,D,50,0,1500
14,8,D,50,0,1450
14,9,A,100,0,1350
14,10,A,100,150,1400
15,0,B,100,0,1900
15,1,D,50,0,1850
15,2,B,100,0,1750
15,3,D,50,0,1700
15,4,D,50,0,1650
15,5,B,100,0,1550
15,6,C,50,0,1500
15,7,B,100,0,1400
15,8,D,50,0,1350
15,9,C,50,0,1300
15,10,A,100,0,1200
16,0,A,100,0,1900
16,1,D,50,0,1850
16,2,A,100,0,1750
16,3,B,100,0,1650
16,4,C,50,0,1600
16,5,D,50,0,1550
16,6,A,100,150,1600
16,7,D,50,0,1550
16,8,C,50,0,1500
16,9,A,100,0,1400
16,10,D,50,0,1350
17,0,B,100,0,1900
17,1,D,50,0,1850
17,2,B,100,0,1750
17,3,A,100,0,1650
17,4,B,100,0,1550
17,5,B,100,0,1450
17,6,C,50,0,1400
17,7,D,50,0,1350
17,8,A,100,0,1250
17,9,B,100,0,1150
17,10,B,100,0,1050
18,0,B,100,0,1900
18,1,B,100,0,1800
18,2,C,50,0,1750
18,3,C,50,0,1700
18,4,B,100,0,1600
18,5,C,50,50,1600
18,6,D,50,0,1550
18,7,C,50,0,1500
18,8,A,100,0,1400
18,9,D,50,0,1350
18,10,A,100,0,1250
19,0,B,100,0,1900
19,1,D,50,0,1850
19,2,C,50,0,1800
19,3,B,100,0,1700
19,4,B,100,0,1600
19,5,A,100,0,1500
19,6,C,50,0,1450
19,7,A,100,0,1350
19,8,A,100,150,1400
19,9,A,100,0,1300
19,10,C,50,50,1300
20,0,B,100,0,1900
20,1,D,50,0,1850
20,2,C,50,0,1800
20,3,B,100,0,1700
20,4,B,100,0,1600
20,5,C,50,0,1550
20,6,A,100,0,1450
20,7,C,50,50,1450
20,8,A,100,0,1350
20,9,C,50,0,1300
20,10,C,50,50,1300
21,0,D,50,0,1950
21,1,C,50,0,1900
21,2,D,50,0,1850
21,3,C,50,0,1800
21,4,C,50,50,1800
21,5,B,100,0,1700
21,6,A,100,0,1600
21,7,B,100,0,1500
21,8,D,50,0,1450
21,9,A,100,0,1350
21,10,B,100,0,1250
22,0,A,100,0,1900
22,1,A,100,0,1800
22,2,B,100,0,1700
22,3,D,50,0,1650
22,4,B,100,0,1550
22,5,C,50,0,1500
22,6,A,100,150,1550
22,7,B,100,0,1450
22,8,B,100,0,1350
22,9,B,100,0,1250
22,10,D,50,0,1200
23,0,C,50,0,1950
23,1,B,100,0,1850
23,2,A,100,0,1750
23,3,C,50,0,1700
23,4,B,100,0,1600
23,5,B,100,0,1500
23,6,A,100,0,1400
23,7,D,50,0,1350
23,8,A,100,150,1400
23,9,C,50,50,1400
23,10,D,50,0,1350
24,0,C,50,0,1950
24,1,D,50,0,1900
24,2,C,50,0,1850
24,3,A,100,0,1750
24,4,B,100,0,1650
24,5,A,100,0,1550
24,6,A,100,150,1600
24,7,A,100,0,1500
24,8,C,50,50,1500
24,9,D,50,0,1450
24,10,A,100,300,1650
25,0,D,50,0,1950
25,1,D,50,0,1900
25,2,B,100,0,1800
25,3,D,50,0,1750
25,4,B,100,0,1650
25,5,D,50,0,1600
25,6,B,100,0,1500
25,7,A,100,0,1400
25,8,D,50,0,1350
25,9,B,100,0,1250
25,10,A,100,0,1150
26,0,D,50,0,1950
26,1,D,50,0,1900
26,2,C,50,0,1850
26,3,D,50,0,1800
26,4,C,50,0,1750
26,5,B,100,0,1650
26,6,B,100,0,1550
26,7,D,50,0,1500
26,8,D,50,0,1450
26,9,C,50,50,1450
26,10,D,50,0,1400
27,0,A,100,0,1900
27,1,A,100,0,1800
27,2,B,100,0,1700
27,3,D,50,0,1650
27,4,B,100,0,1550
27,5,A,100,150,1600
27,6,C,50,0,1550
27,7,A,100,0,1450
27,8,D,50,0,1400
27,9,D,50,0,1350
27,10,C,50,0,1300
28,0,B,100,0,1900
28,1,A,100,0,1800
28,2,B,100,0,1700
28,3,B,100,0,1600
28,4,B,100,0,1500
28,5,D,50,0,1450
28,6,B,100,0,1350
28,7,D,50,0,1300
28,8,D,50,0,1250
28,9,C,50,0,1200
28,10,D,50,0,1150
29,0,C,50,0,1950
29,1,D,50,0,1900
29,2,D,50,0,1850
29,3,C,50,0,1800
29,4,B,100,0,1700
29,5,D,50,0,1650
29,6,A,100,0,1550
29,7,A,100,0,1450
29,8,D,50,0,1400
29,9,B,100,0,1300
29,10,C,50,50,1300
30,0,B,100,0,1900
30,1,B,100,0,1800
30,2,D,50,0,1750
30,3,D,50,0,1700
30,4,B,100,0,1600
30,5,C,50,0,1550
30,6,C,50,0,1500
30,7,A,100,0,1400
30,8,D,50,0,1350
30,9,C,50,50,1350
30,10,B,100,0,1250
31,0,D,50,0,1950
31,1,A,100,0,1850
31,2,A,100,0,1750
31,3,B,100,0,1650
31,4,D,50,0,1600
31,5,C,50,0,1550
31,6,A,100,150,1600
31,7,B,100,0,1500
31,8,D,50,0,1450
31,9,C,50,0,1400
31,10,B,100,0,1300
32,0,D,50,0,1950
32,1,B,100,0,1850
32,2,C,50,0,1800
32,3,C,50,0,1750
32,4,D,50,0,1700
32,5,B,100,0,1600
32,6,B,100,0,1500
32,7,B,100,0,1400
32,8,B,100,0,1300
32,9,C,50,50,1300
32,10,D,50,0,1250
33,0,C,50,0,1950
33,1,D,50,0,1900
33,2,D,50,0,1850
33,3,D,50,0,1800
33,4,D,50,0,1750
33,5,B,100,0,1650
33,6,C,50,0,1600
33,7,C,50,50,1600
33,8,A,100,0,1500
33,9,D,50,0,1450
33,10,A,100,0,1350
34,0,A,100,0,1900
34,1,D,50,0,1850
34,2,A,100,0,1750
34,3,A,100,150,1800
34,4,B,100,0,1700
34,5,A,100,0,1600
34,6,D,50,0,1550
34,7,C,50,0,1500
34,8,D,50,0,1450
34,9,B,100,0,1350
34,10,C,50,0,1300
35,0,D,50,0,1950
35,1,D,50,0,1900
35,2,A,100,0,1800
35,3,D,50,0,1750
35,4,D,50,0,1700
35,5,B,100,0,1600
35,6,D,50,0,1550
35,7,C,50,0,1500
35,8,C,50,0,1450
35,9,C,50,50,1450
35,10,A,100,0,1350
36,0,B,100,0,1900
36,1,C,50,0,1850
36,2,A,100,0,1750
36,3,C,50,0,1700
36,4,D,50,0,1650
36,5,D,50,0,1600
36,6,A,100,0,1500
36,7,B,100,0,1400
36,8,C,50,50,1400
36,9,D,50,0,1350
36,10,A,100,150,1400
37,0,C,50,0,1950
37,1,C,50,0,1900
37,2,A,100,0,1800
37,3,B,100,0,1700
37,4,A,100,0,1600
37,5,C,50,50,1600
37,6,B,100,0,1500
37,7,D,50,0,1450
37,8,A,100,150,1500
37,9,D,50,0,1450
37,10,C,50,0,1400
38,0,C,50,0,1950
38,1,B,100,0,1850
38,2,A,100,0,1750
38,3,B,100,0,1650
38,4,C,50,0,1600
38,5,A,100,0,1500
38,6,C,50,50,1500
38,7,C,50,0,1450
38,8,B,100,0,1350
38,9,C,50,50,1350
38,10,D,50,0,1300
39,0,C,50,0,1950
39,1,A,100,0,1850
39,2,A,100,0,1750
39,3,C,50,0,1700
39,4,A,100,150,1750
39,5,A,100,0,1650
39,6,A,100,300,1850
39,7,C,50,50,1850
39,8,D,50,0,1800
39,9,D,50,0,1750
39,10,D,50,0,1700
40,0,C,50,0,1950
40,1,C,50,0,1900
40,2,C,50,50,1900
40,3,C,50,0,1850
40,4,B,100,0,1750
40,5,C,50,50,1750
40,6,C,50,0,1700
40,7,C,50,50,1700
40,8,D,50,0,1650
40,9,B,100,0,1550
40,10,C,50,0,1500
